,5.1,3.5,1.4,0.2,Iris-setosa
129,7.4,2.8,6.1,1.9,Iris-virginica
37,4.4,3.0,1.3,0.2,Iris-setosa
139,6.7,3.1,5.6,2.4,Iris-virginica
1,4.7,3.2,1.3,0.2,Iris-setosa
52,5.5,2.3,4.0,1.3,Iris-versicolor
130,7.9,3.8,6.4,2.0,Iris-virginica
103,6.5,3.0,5.8,2.2,Iris-virginica
99,6.3,3.3,6.0,2.5,Iris-virginica
116,7.7,3.8,6.7,2.2,Iris-virginica
87,5.6,3.0,4.1,1.3,Iris-versicolor
74,6.6,3.0,4.4,1.4,Iris-versicolor
121,7.7,2.8,6.7,2.0,Iris-virginica
148,5.9,3.0,5.1,1.8,Iris-virginica
20,5.1,3.7,1.5,0.4,Iris-setosa
71,6.3,2.5,4.9,1.5,Iris-versicolor
106,7.3,2.9,6.3,1.8,Iris-virginica
14,5.7,4.4,1.5,0.4,Iris-setosa
92,5.0,2.3,3.3,1.0,Iris-versicolor
102,6.3,2.9,5.6,1.8,Iris-virginica
